1. Jonathan Taylor, RB, Indianapolis Colts, RB1
2. Christian McCaffrey, RB, Carolina Panthers, RB2
3. Cooper Kupp, WR, Los Angeles Rams, WR1
4. Austin Ekeler, RB, Los Angeles Chargers, RB3
5. Justin Jefferson, WR, Minnesota Vikings, WR2
6. Derrick Henry, RB, Tennessee Titans, RB4
7. Ja'Marr Chase, WR, Cincinnati Bengals, WR3
8. Dalvin Cook, RB, Minnesota Vikings, RB5
9. Najee Harris, RB, Pittsburgh Steelers, RB6
10. Travis Kelce, TE, Kansas City Chiefs, TE1
11. Joe Mixon, RB, Cincinnati Bengals, RB7
12. Davante Adams, WR, Las Vegas Raiders, WR4
13. D'Andre Swift, RB, Detroit Lions, RB8
14. Stefon Diggs, WR, Buffalo Bills, WR5
15. Javonte Williams, RB, Denver Broncos, RB9
16. CeeDee Lamb, WR, Dallas Cowboys, WR6
17. Alvin Kamara, RB, New Orleans Saints, RB10
18. Deebo Samuel, WR, San Francisco 49ers, WR7
19. Tyreek Hill, WR, Miami Dolphins, WR8
20. Leonard Fournette, RB, Tampa Bay Buccaneers, RB11
21. Keenan Allen, WR, Los Angeles Chargers, WR9
22. Mark Andrews, TE, Baltimore Ravens, TE2
23. Aaron Jones, RB, Green Bay Packers, RB12
24. Saquon Barkley, RB, New York Giants, RB13
25. Nick Chubb, RB, Cleveland Browns, RB14
26. James Conner, RB, Arizona Cardinals, RB15
27. Kyle Pitts, TE, Atlanta Falcons, TE3
28. Mike Evans, WR, Tampa Bay Buccaneers, WR10
29. Cam Akers, RB, Los Angeles Rams, RB16
30. Tee Higgins, WR, Cincinnati Bengals, WR11
31. David Montgomery, RB, Chicago Bears, RB17
32. A.J. Brown, WR, Philadelphia Eagles, WR12
33. Josh Allen, QB, Buffalo Bills, QB1
34. DJ Moore, WR, Carolina Panthers, WR13
35. Antonio Gibson, RB, Washington Football Team, RB18
36. Michael Pittman, WR, Indianapolis Colts, WR14
37. Jaylen Waddle, WR, Miami Dolphins, WR15
38. Ezekiel Elliott, RB, Dallas Cowboys, RB19
39. Patrick Mahomes, QB, Kansas City Chiefs, QB2
40. Diontae Johnson, WR, Pittsburgh Steelers, WR16
41. George Kittle, TE, San Francisco 49ers, TE4
42. Terry McLaurin, WR, Washington Football Team, WR17
43. Breece Hall, RB, New York Jets, RB20
44. DK Metcalf, WR, Seattle Seahawks, WR18
45. Brandin Cooks, WR, Houston Texans, WR19
46. Josh Jacobs, RB, Las Vegas Raiders, RB21
47. Mike Williams, WR, Los Angeles Chargers, WR20
48. Travis Etienne, RB, Jacksonville Jaguars, RB22
49. Justin Herbert, QB, Los Angeles Chargers, QB3
50. Jerry Jeudy, WR, Denver Broncos, WR21
51. Amon-Ra St. Brown, WR, Detroit Lions, WR22
52. Darren Waller, TE, Las Vegas Raiders, TE5
53. J.K. Dobbins, RB, Baltimore Ravens, RB23
54. T.J. Hockenson, TE, Detroit Lions, TE6
55. Elijah Mitchell, RB, San Francisco 49ers, RB24
56. Lamar Jackson, QB, Baltimore Ravens, QB4
57. Darnell Mooney, WR, Chicago Bears, WR23
58. Courtland Sutton, WR, Denver Broncos, WR24
59. Marquise Brown, WR, Arizona Cardinals, WR25
60. Chris Godwin, WR, Tampa Bay Buccaneers, WR26
61. AJ Dillon, RB, Green Bay Packers, RB25
62. Kyler Murray, QB, Arizona Cardinals, QB5
63. Miles Sanders, RB, Philadelphia Eagles, RB26
64. Amari Cooper, WR, Cleveland Browns, WR27
