1. Jonathan Taylor, RB, Indianapolis Colts (Bye Week: 14)
2. Christian McCaffrey, RB, Carolina Panthers (13)
3. Austin Ekeler, RB, Los Angeles Chargers (8)
4. Derrick Henry, RB, Tennessee Titans (6)
5. Cooper Kupp, WR, Los Angeles Rams (7)
6. Dalvin Cook, RB, Minnesota Vikings (7)
7. Justin Jefferson, WR, Minnesota Vikings (7)
8. Najee Harris, RB, Pittsburgh Steelers (9)
9. Joe Mixon, RB, Cincinnati Bengals (10)
10. Ja'Marr Chase, WR, Cincinnati Bengals (10)
11. D'Andre Swift, RB, Detroit Lions (6)
12. Davante Adams, WR, Las Vegas Raiders (6)
13. Nick Chubb, RB, Cleveland Browns (9)
14. Travis Kelce, TE, Kansas City Chiefs (8)
15. Stefon Diggs, WR, Buffalo Bills (7)
16. Aaron Jones, RB, Green Bay Packers (14)
17. Deebo Samuel, WR, San Francisco 49ers (9)
18. Alvin Kamara, RB, New Orleans Saints (14)
19. Javonte Williams, RB, Denver Broncos (12)
20. Tyreek Hill, WR, Miami Dolphins (11)
21. CeeDee Lamb, WR, Dallas Cowboys (9)
22. Mark Andrews, TE, Baltimore Ravens (10)
23. Josh Allen, QB, Buffalo Bills (7)
24. Leonard Fournette, RB, Tampa Bay Buccaneers (11)
25. Mike Evans, WR, Tampa Bay Buccaneers (11)
26. Tee Higgins, WR, Cincinnati Bengals (10)
27. David Montgomery, RB, Chicago Bears (14)
28. A.J. Brown, WR, Philadelphia Eagles (7)
29. James Conner, RB, Arizona Cardinals (13)
30. Saquon Barkley, RB, New York Giants (9)
31. Keenan Allen, WR, Los Angeles Chargers (8)
32. Cam Akers, RB, Los Angeles Rams (7)
33. Patrick Mahomes, QB, Kansas City Chiefs (8)
34. Kyle Pitts, TE, Atlanta Falcons (4)
35. Antonio Gibson, RB, Washington Commanders (14)
36. Ezekiel Elliott, RB, Dallas Cowboys (9)
37. Josh Jacobs, RB, Las Vegas Raiders (6)
38. DJ Moore, WR, Carolina Panthers (13)
39. Justin Herbert, QB, Los Angeles Chargers (8)
40. Breece Hall, RB, New York Jets (10)
41. Michael Pittman, WR, Indianapolis Colts (14)
42. Jaylen Waddle, WR, Miami Dolphins (11)
43. J.K. Dobbins, RB, Baltimore Ravens (10)
44. Darren Waller, TE, Las Vegas Raiders (6)
45. Diontae Johnson, WR, Pittsburgh Steelers (9)
46. Elijah Mitchell, RB, San Francisco 49ers (9)
47. Travis Etienne, RB, Jacksonville Jaguars (11)
48. Terry McLaurin, WR, Washington Commanders (14)
49. George Kittle, TE, San Francisco 49ers (9)
50. Lamar Jackson, QB, Baltimore Ravens (10)
51. Darnell Mooney, WR, Chicago Bears (14)
52. Brandin Cooks, WR, Houston Texans (6)
53. DK Metcalf, WR, Seattle Seahawks (9)
54. Marquise Brown, WR, Arizona Cardinals (13)
55. Damien Harris, RB, New England Patriots (25)
56. Amon-Ra St. Brown, WR, Detroit Lions (6)
57. Chris Godwin, WR, Tampa Bay Buccaneers (11)
58. AJ Dillon, RB, Green Bay Packers (14)
59. Jalen Hurts, QB, Philadelphia Eagles (7)
60. Jerry Jeudy, WR, Denver Broncos (9)
61. Allen Robinson, WR, Los Angeles Rams (7)
62. Kyler Murray, QB, Arizona Cardinals (13)
63. Dalton Schultz, TE, Dallas Cowboys (6)
64. Courtland Sutton, WR, Denver Broncos (9)
65. Mike Williams, WR, Los Angeles Chargers (8)
66. Tom Brady, QB, Tampa Bay Buccaneers (11)
67. Joe Burrow, QB, Cincinnati Bengals (10)
68. T.J. Hockenson, TE, Detroit Lions (6)
69. Amari Cooper, WR, Cleveland Browns (9)
70. Gabriel Davis, WR, Buffalo Bills (7)
71. Clyde Edwards-Helaire, RB, Kansas City Chiefs (8)
72. Michael Thomas, WR, New Orleans Saints (14)
73. Adam Thielen, WR, Minnesota Vikings (7)
74. Miles Sanders, RB, Philadelphia Eagles (7)
75. Tony Pollard, RB, Dallas Cowboys (9)
76. JuJu Smith-Schuster, WR, Kansas City Chiefs (8)
78. Dak Prescott, QB, Dallas Cowboys (9)
79. Cordarrelle Patterson, RB, Atlanta Falcons (14)
80. Hunter Renfrow, WR, Las Vegas Raiders (6)
81. Rashaad Penny, RB, Seattle Seahawks (11)
82. Russell Wilson, QB, Denver Broncos (9)
83. Devin Singletary, RB, Buffalo Bills (7)
84. Dallas Goedert, TE, Philadelphia Eagles (9)
85. Kareem Hunt, RB, Cleveland Browns (9)
86. Rashod Bateman, WR, Baltimore Ravens (10)
87. DeAndre Hopkins, WR, Arizona Cardinals (13)
88. Matthew Stafford, QB, Los Angeles Rams (7)
89. Rhamondre Stevenson, RB, New England Patriots (10)
90. Kenneth Walker, RB, Seattle Seahawks (11)
91. Aaron Rodgers, QB, Green Bay Packers (14)
92. Zach Ertz, TE, Arizona Cardinals (13)
93. DeVonta Smith, WR, Philadelphia Eagles (7)
94. Chase Edmonds, RB, Miami Dolphins (11)
95. Brandon Aiyuk, WR, San Francisco 49ers (9)
96. Derek Carr, QB, Las Vegas Raiders (6)
97. Pat Freiermuth, TE, Pittsburgh Steelers (9)
98. Melvin Gordon, RB, Denver Broncos (9)
99. Robert Woods, WR, Tennessee Titans (6)
100. Tyler Lockett, WR, Seattle Seahawks (11)
