Round 1
1. Jonathan Taylor, Ind (RB1) -- Lipscomb
2. Christian McCaffrey, Car (RB2) -- Berry
3. Austin Ekeler, LAC (RB3) -- Louis-Jacques
4. Najee Harris, Pit (RB4) -- Moody
5. Cooper Kupp, LAR (WR1) -- Clay
6. Derrick Henry, Ten (RB5) -- Cockcroft
7. Justin Jefferson, Min (WR2) -- Dopp
8. Dalvin Cook, Min (RB6) -- Soppe
9. Ja'Marr Chase, Cin (WR3) -- Dabrowski
10. Joe Mixon, Cin (RB7) -- Triplett
11. Davante Adams, LV (WR4) -- Kaiser
12. D'Andre Swift, Det (RB8) -- Carpenter


Round 2
13. Alvin Kamara, NO (RB9) -- Carpenter
14. Stefon Diggs, Buf (WR5) -- Kaiser
15. Javonte Williams, Den (RB10) -- Triplett
16. Aaron Jones, GB (RB11) -- Dabrowski
17. Keenan Allen, LAC (WR6) -- Soppe
18. Deebo Samuel, SF (WR7) -- Dopp
19. CeeDee Lamb, Dal (WR8) -- Cockcroft
20. Tyreek Hill, Mia (WR9) -- Clay
21. Travis Kelce, KC (TE1) -- Moody
22. Cam Akers, LAR (RB12) -- Louis-Jacques
23. Leonard Fournette, TB (RB13) -- Berry
24. Tee Higgins, Cin (WR10) -- Lipscomb

Round 3
25. Mike Evans, TB (WR11) -- Lipscomb
26. Mark Andrews, Bal (TE2) -- Berry
27. Saquon Barkley, NYG (RB14) -- Louis-Jacques
28. Nick Chubb, Cle (RB15) -- Moody
29. James Conner, Ari (RB16) -- Clay
30. David Montgomery, Chi (RB17) -- Cockcroft
31. Ezekiel Elliott, Dal (RB18) -- Dopp
32. Michael Pittman, Ind (WR12) -- Soppe
33. A.J. Brown, Phi (WR13) -- Dabrowski
34. Terry McLaurin, Wsh (WR14) -- Triplett
35. Josh Jacobs, LV (RB19) -- Kaiser
36. Jaylen Waddle, Mia (WR15) -- Carpenter

Round 4
37. J.K. Dobbins, Bal (RB20) -- Carpenter
38. Mike Williams, LAC (WR16) -- Kaiser
39. Kyle Pitts, Atl (TE3) -- Triplett
40. Diontae Johnson, Pit (WR17) -- Dabrowski
41. Antonio Gibson, Wsh (RB21) -- Soppe
42. Josh Allen, Buf (QB1) -- Dopp
43. Patrick Mahomes, KC (QB2) -- Cockcroft
44. Breece Hall, NYJ (RB22) -- Clay
45. DJ Moore, Car (WR18) -- Moody
46. Chris Godwin, TB (WR19) -- Louis-Jacques
47. DK Metcalf, Sea (WR20) -- Berry
48. Travis Etienne, Jax (RB23) -- Lipscomb

Round 5
49. Miles Sanders, Phi (RB24) -- Lipscomb
50. Brandin Cooks, Hou (WR21) -- Berry
51. Justin Herbert, LAC (QB3) -- Louis-Jacques
52. Amari Cooper, Cle (WR22) -- Moody
53. Amon-Ra St. Brown, Det (WR23) -- Clay
54. George Kittle, SF (TE4) -- Cockcroft
55. Darnell Mooney, Chi (WR24) -- Dopp
56. Elijah Mitchell, SF (RB25) -- Soppe
57. Darren Waller, LV (TE5) -- Dabrowski
58. Courtland Sutton, Den (WR25) -- Triplett
59. Cordarrelle Patterson, Atl (RB26) -- Kaiser
60. Michael Thomas, NO (WR26) -- Carpenter

Round 6
61. Dalton Schultz, Dal (TE6) -- Carpenter
62. Damien Harris, NE (RB27) -- Kaiser
63. Jerry Jeudy, Den (WR27) -- Triplett
64. Marquise Brown, Ari (WR28) -- Dabrowski
65. JuJu Smith-Schuster, KC (WR29) -- Soppe
66. Gabriel Davis, Buf (WR30) -- Dopp
67. Elijah Moore, NYJ (WR31) -- Cockcroft
68. Tyler Lockett, Sea (WR32) -- Clay
69. Drake London, Atl (WR33) -- Moody
70. Allen Robinson, LAR (WR34) -- Louis-Jacques
71. Rashod Bateman, Bal (WR35) -- Berry
72. Hunter Renfrow, LV (WR36) -- Lipscomb

Round 7
73. Garrett Wilson, NYJ (WR37) -- Lipscomb
74. AJ Dillon, GB (RB28) -- Berry
75. Treylon Burks, Ten (WR38) -- Louis-Jacques
76. DeAndre Hopkins, Ari (WR39) -- Moody
77. T.J. Hockenson, Det (TE7) -- Clay
78. Clyde Edwards-Helaire, KC (RB29) -- Cockcroft
79. Kareem Hunt, Cle (RB30) -- Dopp
80. Christian Kirk, Jax (WR40) -- Soppe
81. Devin Singletary, Buf (RB31) -- Dabrowski
82. Adam Thielen, Min (WR41) -- Triplett
83. Lamar Jackson, Bal (QB4) -- Kaiser
84. Kyler Murray, Ari (QB5) -- Carpenter

Round 8
